"Holder Address","Quantity","Used Warden Router","Used TxHash"
"0x068423cda40ac8c4ba2e8196eeeea080af758fb2",1,"false", null
"0x068de19ce0b8f2cbabd943417f27e777cc0972c4",1,"true", https://optimistic.etherscan.io/tx/0x01be83635c697caf9f1863b92ef518611853b9e53d344b0960edfdd06872a5f2
"0x079ec0ff0ea3e08758ae999e18de75613118feed",1,"false", null
"0x08461d267f6996bc728a0cbf3dd4b5e6284d007a",1,"false", null
"0x08abeddf75a0590352769960e2496c22c405d141",1,"false", null
"0x0945f3954ba733677aa83d8c1ac0fa84e7c956cf",1,"false", null
"0x0a1828c9bda68840036afd7ad3ee9156dcf16c73",1,"true", https://optimistic.etherscan.io/tx/0xfa28555d7edcc1be280e68361f14587b7026c0808e0a8929c17040e14dd5050b
"0x0a66f17a40f61b448853ad6f7639cdaf59df554f",1,"false", null
"0x0acdaa6163523da27bdf238b5dcbb3fb98b34b47",1,"false", null
"0x0acfab8bb236b2f8106cdc805591166861c1b620",1,"true", https://optimistic.etherscan.io/tx/0x8e31acec6d81af498bd69e1be50c6533ca6707481d3feecb8928bd126d91b374
"0x0af02f83e104900383526474adb66d71f2177a9f",1,"false", null
"0x0bd9edba4059ff66efc18536abf4062e9263a4be",1,"false", null
"0x0c58910d6a7020da91e16979dfda66ddef1d81cc",1,"false", null
"0x0c928979fcee6490c009b84084286479907ad947",1,"false", null
"0x0d1ce913b9d2e7ac0f0ef87504f153323a67d839",1,"false", null
"0x0ef5c493ac031d07adbfb0e965c6d0356a4fe377",1,"false", null
"0x0f474800c2b13fa74e2d6d7dd4ffd08ac0724fea",1,"false", null
"0x0f82b08e86e531148d7456c386b22bf44611d206",1,"false", null
"0x123bb038ec5842fc8e858481e190c4d26112becb",1,"false", null
"0x123cc72d077e8544142817a38d1dd99f1f2d774d",1,"false", null
"0x1303f2f424945055e92162c608d0dd33a4b21927",1,"true", https://optimistic.etherscan.io/tx/0x65544f07e8f1299a3502ed0a4fddea609af57bbf365b5b8fe74e382e1e228f45
"0x132c91eb991fd974132bfa997caaea07f7e54b6d",1,"false", null
"0x13dd4bc3fcdcb690689ab50789b31abbf93be6c5",1,"false", null
"0x13ed742bdb1c767f1d97737752f4fbe64f46bb03",1,"true", https://optimistic.etherscan.io/tx/0x5423352d4a24dedfb3efefc8cf6e15f77cc80e46ea7209cfc25a473146c5a856
"0x157ea7465237654286ba3fdfaefd145cafc8859e",1,"true", https://optimistic.etherscan.io/tx/0x65d40c1fb30460b85ec55f0151b62425598d236112dcb239b8184ac8b2f1a4b7
"0x17b4524cc66470a1ce4a2bbf3a6d3aa523d4b159",1,"false", null
"0x18bca7cc549585f744ce71bc31ebe819dd363924",1,"false", null
"0x1983d702550ad08a14e3e6938502f9b54f9762a9",1,"false", null
"0x1a40ff9114db0fa9cbc23976b61c900079a5ddab",1,"false", null
"0x1a4259b12de7f60242ef18370c170be8e86b3c16",1,"false", null
"0x1a6d166be088f51cebb8ea605982275ae66a1439",1,"false", null
"0x1aa456963c20977729c47e86124d6ac437ed7767",1,"false", null
"0x1b7296b1002449da0405010bb52268b7c9ef021d",1,"false", null
"0x1c93b0f31fb088dfd37a2f8c7b6bdb8e6ed843ba",1,"false", null
"0x1d54ee6c2e15b168f35a578ca2bcf49f6a46c473",1,"true", https://optimistic.etherscan.io/tx/0x57e584c95fcba81d29ea996f98a0889667bd2897a2f86299b589808879492959
"0x1d898f09c4db300092692087e7c3a080fed830e2",1,"false", null
"0x1d8ed950ce42952c44a363bab93e70ffec340857",1,"false", null
"0x1daf43792282e04ec8421fae4371996103e5e7af",1,"false", null
"0x1e2814310f1fcc597f198dfc467c78a7d51f0a07",1,"false", null
"0x1e6be8b36cf529d9b2bf5dfe6684ed970da96992",1,"true", https://optimistic.etherscan.io/tx/0x9f3eec52c76258b25e6fbc22b702e793092ac0a12d829c4fd9d17ed5fd31bc1d
"0x1f68f38d975cf3680ef06c39a01f4f74435b8b7a",1,"false", null
"0x2067750877c8e905386aef2065b9962c5e94d30d",1,"false", null
"0x20fd0a5abaa9ac2bc212159371fc01ca221b957f",1,"false", null
"0x2244fdb3d8e6fbccf269e45389498cfaa5fdaa96",1,"false", null
"0x22cd28ea396bc8a1d56d67267454d2e06cd42393",1,"false", null
"0x23f6653fde64cc264f198984521fcff8d98188bc",1,"false", null
"0x243f64df75fab855ec00520ef8c9aa10e37e0be2",1,"false", null
"0x250ea1babef3192d0a1c9e5083513bc8cbaea91d",1,"false", null
"0x26244bd367f59d9fffd75b23a850eb392cdebdea",1,"false", null
"0x26a6a80a81fa68b6e697c21136cf135618210ef3",1,"false", null
"0x26d112342352d9644e4991cceab8d427e034b909",1,"false", null
"0x26eed982774bd951fdfe130ee5bc48a195e9ad19",1,"false", null
"0x27886297cbca8d1e87bc0e1b7a84f508c03fa15e",1,"false", null
"0x28298ece3be5d7acc6089140776ebd889c5b1bdd",1,"false", null
"0x2843f1386bae080e4924c5cdfcede418e31ac227",1,"false", null
"0x290f749ec1969f6596bb07a6d1d6256b1a296ed2",1,"false", null
"0x291e898ef3705f721386c8cfa0cf3fce27f17dcb",1,"false", null
"0x29d8bf1894fb077edcd5a6ee8ed475b6aed5dbb4",1,"false", null
"0x2aaa7bbb7f09492c85577fb00697bf8165ec3200",1,"true", https://optimistic.etherscan.io/tx/0x5d5ba53376fed5b587ed1cbb944878f46e054327735a9be879b252861c610bfc
"0x2ab32d6d0b932ff10bcfc44a9b6bfe94f90a3d0e",1,"false", null
"0x2ac0027858f7352963fe71f64a6194d8c59fac2b",1,"false", null
"0x2aeb588d59f97ca4c4d435814ae2f1e4d32d557c",1,"false", null
"0x2b568e529b0895e469261230546c40694f6b622b",1,"false", null
"0x2b638f59ae1a530599f151d077b29a5c924f50f6",1,"false", null
"0x2bc7643e0bb229c682dd659c5de59ee84163e608",1,"false", null
"0x2c80037bb43674de7f5122d1e898bb85687334f5",1,"false", null
"0x2caf27200ca339d7a400f4bf94dbddbfd719468a",1,"false", null
"0x2d15c72fef7b1bbce37103347a858e82a3147ff7",1,"false", null
"0x2d42d26bc19652c097b109f7ad05c3adfd353e5b",1,"false", null
"0x2d56e1f07b28ad162e091b95505e3def04388c56",1,"false", null
"0x2da1fa70f286eb0fbc3a34b60c38138f2a2662fd",1,"false", null
"0x2e7ab547a1d4c42b80ac621471e07380c8a17b65",1,"true", https://optimistic.etherscan.io/tx/0x8cacbfd8bfc45a48f9281fb9d8ccd41091263d02c11a824b85eb081dc976e73b
"0x2f08efcc5045bc026c76ab64c3ae9eb52c95f480",1,"true", https://optimistic.etherscan.io/tx/0x427aad36f30c46acbd5b2e16df140c6cbfcba733c5c5c33ff0eb28f8b3be88e6
"0x2f18ee4821ae8b4a9b21dc0ca5527dc5afa92ae7",1,"false", null
"0x2f8697dfcd8543e0024a246b895350f449f71c29",1,"false", null
"0x30310e4030ecd4fa247b433ce02d4397c7e884b6",1,"false", null
"0x3177bdcb49b717864a2fd9b26df27c82471519c9",1,"false", null
"0x31f2feca170521e2fd4a4a759e1bdc758d35dd13",1,"false", null
"0x327325ccaf357a88d968999814d4e79eebabaaae",1,"false", null
"0x32ae7daa1b0f6da161cbe7afcb871958657c8610",1,"true", https://optimistic.etherscan.io/tx/0xa1c0ef7793ff7a6245d3b4b03608819507b6cfa9c8aa6a7f4f27e28d83e36bf1
"0x32f189d64e7ffd04390c705c2c19e6cec2554021",1,"false", null
"0x3386ed77487bb2fde8775d85c92d6d031c0b555c",1,"false", null
"0x34463563fe62ac15e3ff2969168d1c46794ec10e",1,"false", null
"0x3448c2993a2cc0dd13a27e57d16ce7879298c220",1,"false", null
"0x3470c1fbd26bbd88d589ab01d5dcdecec817e3c2",1,"false", null
"0x347ac8f1f3dcc03d36e7b50196b4965501e7d6ba",1,"false", null
"0x35edc7c9a983350b433ef144a1e1d6c15d838e21",1,"false", null
"0x36217511ad0cbdf83bc6de8ae3d36038ecf722c6",1,"false", null
"0x36d1f19f225d2efc46593800db5db701a41861c5",1,"false", null
"0x37595a0b3774e047330fa69763f5843e7b7cd975",1,"false", null
"0x38087800d3982f12f597a6d5d537b5a952b91606",1,"false", null
"0x38a1f2579945c3da69caf49473778e99f20813da",1,"false", null
"0x39aaf2584ba147d08f88f210f69c883a826e38c7",1,"false", null
"0x39d75d8b911947a13e7c6b9c6dea5e0fe5a6c928",1,"false", null
"0x3aa9354b3b7afa62437096cb379686d7f15a2424",1,"false", null
